penalty_id,match_id,match_date,penalty_team,opponent_team,penalty_context,shootout_condition,shooter,shooter_foot,goalkeeper,shot_horizontal,shot_vertical,keeper_direction,penalty_type,outcome,video_source,competition
49732-1,2026-04-25_GOLIK-NORTH-DISTRICT_KITCHEE,25 APR 2026,Kitchee,Golik North District,IN_MATCH,,SOARES BELITARDO JUNIOR Walter,LEFT,LI Hon Ho,LEFT,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49732/detail,HKPL
49732-2,2026-04-25_GOLIK-NORTH-DISTRICT_KITCHEE,25 APR 2026,Golik North District,Kitchee,IN_MATCH,,SALUSTIANO DE JESUS SILVA Samuel,RIGHT,PONG Cheuk Hei,CENTRE,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49732/detail,HKPL
49736-2,2026-05-09_EASTERN_TAI-PO,9 MAY 2026,Tai Po,Eastern,IN_MATCH,,TORRES SARTORI Igor,RIGHT,KO Chun Wilson,LEFT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49736/detail,HKPL
49736-3,2026-05-09_EASTERN_TAI-PO,9 MAY 2026,Tai Po,Eastern,IN_MATCH,,PERAL DE LIMA Patrick,RIGHT,KO Chun Wilson,LEFT,LOW,RIGHT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/49736/detail,HKPL
49738-2,2026-05-17_LEE-MAN_TAI-PO,17 MAY 2026,Tai Po,Lee Man,IN_MATCH,,TORRES SARTORI Igor,RIGHT,CHAN Ka Ho,CENTRE,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/49738/detail,HKPL
49738-4,2026-05-17_LEE-MAN_TAI-PO,17 MAY 2026,Tai Po,Lee Man,IN_MATCH,,PERAL DE LIMA Patrick,RIGHT,CHAN Ka Ho,LEFT,HIGH,LEFT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/49738/detail,HKPL
49743-0,2026-04-26_KC-SOUTHERN_KOWLOON-CITY,26 APR 2026,Kowloon City,KC Southern,IN_MATCH,,DUTRA DOS SANTOS Luiz Humberto,RIGHT,NG Wai Him,RIGHT,LOW,RIGHT,HESITATION,GOAL,https://www.hkfa.com/en/competitions/result/49743/detail,HKPL
46845-0,2025-12-20_KOWLOON-CITY_LEE-MAN,20 DEC 2025,Lee Man,Kowloon City,IN_MATCH,,SEVERO BURKATT Mikael,RIGHT,YUEN Ho Chun,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46845/detail,FA Cup
46846-2,2025-12-21_GOLIK-NORTH-DISTRICT_KC-SOUTHERN,21 DEC 2025,Golik North District,KC Southern,IN_MATCH,,SALUSTIANO DE JESUS SILVA Samuel,RIGHT,NG Wai Him,LEFT,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46846/detail,FA Cup
46847-14,2026-03-07_EASTERN_EASTERN-DISTRICT,7 MAR 2026,Eastern,Eastern District,SHOOTOUT,NORMAL,OKUBO Yu,RIGHT,DA SILVA ARGOLO Paulo Cesar,RIGHT,LOW,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46847/detail,FA Cup
46847-15,2026-03-07_EASTERN_EASTERN-DISTRICT,7 MAR 2026,Eastern District,Eastern,SHOOTOUT,NORMAL,GU Bin,LEFT,CASSARO USART Ian,LEFT,HIGH,LEFT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46847/detail,FA Cup
46847-16,2026-03-07_EASTERN_EASTERN-DISTRICT,7 MAR 2026,Eastern District,Eastern,SHOOTOUT,NORMAL,DE OLIVEIRA BIANCONI Bruno,RIGHT,CASSARO USART Ian,RIGHT,LOW,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46847/detail,FA Cup
46847-17,2026-03-07_EASTERN_EASTERN-DISTRICT,7 MAR 2026,Eastern,Eastern District,SHOOTOUT,NORMAL,LORENZ Marco Moni,RIGHT,DA SILVA ARGOLO Paulo Cesar,RIGHT,HIGH,RIGHT,NORMAL,GOAL,https://www.hkfa.com/en/competitions/result/46847/detail,FA Cup
