player_id,player_name,country,teams,positions,appearances,starts,minutes,goals,xg,shots,shots_on_target,shots_first_time,shots_one_on_one,shots_left_foot,shots_right_foot,shots_head,goals_p90,xg_p90,shots_p90,shots_on_target_p90,shots_first_time_p90,shots_one_on_one_p90,shot_accuracy,conversion,xg_per_shot,goals_minus_xg,shot_left_share,shot_right_share,shot_head_share,assists,key_passes,assists_p90,key_passes_p90,passes,passes_completed,passes_left_foot,passes_right_foot,passes_head,passes_ground,passes_low,passes_high,crosses,cut_backs,switches,through_balls,passes_p90,passes_completed_p90,crosses_p90,cut_backs_p90,switches_p90,through_balls_p90,pass_completion,pass_left_share,pass_right_share,pass_head_share,pass_ground_share,pass_low_share,pass_high_share,cross_share,cut_back_share,switch_share,through_ball_share,carries,dribbles,dribbles_completed,fouls_won,dispossessed,miscontrols,errors,offsides,carries_p90,dribbles_p90,dribbles_completed_p90,fouls_won_p90,dispossessed_p90,miscontrols_p90,errors_p90,offsides_p90,dribble_success,tackles,interceptions,clearances,blocks,pressures,ball_recoveries,counterpresses,dribbled_past,fifty_fifties,shields,fouls_committed,tackles_p90,interceptions_p90,clearances_p90,blocks_p90,pressures_p90,ball_recoveries_p90,counterpresses_p90,dribbled_past_p90,fifty_fifties_p90,shields_p90,fouls_committed_p90,aerials,aerials_won,aerials_p90,aerials_won_p90,aerial_win_rate,yellow_cards,red_cards,yellow_cards_p90,red_cards_p90,left_ratio,right_ratio
4700,Matthew Pennington,England,Everton,"Left Center Back, Right Back",4,4,312.2,0,0.121,2,1,0,0,0,0,2,0.0,0.035,0.577,0.288,0.0,0.0,0.5,0.0,0.06,-0.121,0.0,0.0,1.0,0,0,0.0,0.0,172,147,23,130,4,130,15,27,1,0,0,1,49.584,42.377,0.288,0.0,0.0,0.288,0.855,0.134,0.756,0.023,0.756,0.087,0.157,0.006,0.0,0.0,0.006,131,1,1,1,2,0,0,0,37.764,0.288,0.288,0.288,0.577,0.0,0.0,0.0,1.0,4,5,22,10,22,20,5,2,0,1,2,1.153,1.441,6.342,2.883,6.342,5.766,1.441,0.577,0.0,0.288,0.577,15,12,4.324,3.459,0.8,1,0,0.288,0.0,0.15,0.85
23742,Vadis Odjidja-Ofoe,Belgium,Norwich City,"Center Attacking Midfield, Left Center Midfield, Right Midfield",10,3,310.5,0,0.161,3,1,0,0,0,3,0,0.0,0.047,0.87,0.29,0.0,0.0,0.333,0.0,0.054,-0.161,0.0,1.0,0.0,2,9,0.58,2.609,159,120,14,121,9,96,39,24,9,0,2,0,46.087,34.783,2.609,0.0,0.58,0.0,0.755,0.088,0.761,0.057,0.604,0.245,0.151,0.057,0.0,0.013,0.0,149,18,9,3,13,8,0,0,43.188,5.217,2.609,0.87,3.768,2.319,0.0,0.0,0.5,9,2,5,11,95,23,32,4,0,1,5,2.609,0.58,1.449,3.188,27.536,6.667,9.275,1.159,0.0,0.29,1.449,18,8,5.217,2.319,0.444,2,0,0.58,0.0,0.101,0.899
4726,Kyle Bartley,England,Swansea City,"Left Center Midfield, Right Center Back",5,2,306.3,0,0.089,2,0,0,0,0,0,2,0.0,0.026,0.588,0.0,0.0,0.0,0.0,0.0,0.044,-0.089,0.0,0.0,1.0,0,0,0.0,0.0,139,108,13,107,13,95,15,29,0,0,5,0,40.842,31.734,0.0,0.0,1.469,0.0,0.777,0.094,0.77,0.094,0.683,0.108,0.209,0.0,0.0,0.036,0.0,90,1,1,5,0,2,0,0,26.445,0.294,0.294,1.469,0.0,0.588,0.0,0.0,1.0,12,1,21,11,44,14,13,0,0,0,4,3.526,0.294,6.17,3.232,12.929,4.114,3.82,0.0,0.0,0.0,1.175,16,11,4.701,3.232,0.688,2,0,0.588,0.0,0.108,0.892
3586,Samuel Mark Byram,England,West Ham United,"Right Back, Right Center Back",4,2,305.5,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.589,140,96,7,87,8,56,38,46,9,1,2,0,41.244,28.282,2.651,0.295,0.589,0.0,0.686,0.05,0.621,0.057,0.4,0.271,0.329,0.064,0.007,0.014,0.0,78,0,0,4,2,2,1,0,22.979,0.0,0.0,1.178,0.589,0.589,0.295,0.0,0.0,5,12,12,6,38,15,14,2,1,0,7,1.473,3.535,3.535,1.768,11.195,4.419,4.124,0.589,0.295,0.0,2.062,12,8,3.535,2.357,0.667,3,0,0.884,0.0,0.074,0.926
42899,Gabriel Antoine Obertan,France,Newcastle United,"Left Center Midfield, Left Midfield, Left Wing, Right Midfield, Right Wing",5,3,297.1,0,0.114,3,2,0,0,0,3,0,0.0,0.035,0.909,0.606,0.0,0.0,0.667,0.0,0.038,-0.114,0.0,1.0,0.0,1,3,0.303,0.909,107,83,10,86,3,69,22,16,8,1,2,0,32.413,25.143,2.423,0.303,0.606,0.0,0.776,0.093,0.804,0.028,0.645,0.206,0.15,0.075,0.009,0.019,0.0,90,7,2,3,6,3,0,1,27.264,2.12,0.606,0.909,1.818,0.909,0.0,0.303,0.286,8,3,5,5,35,16,15,3,0,1,3,2.423,0.909,1.515,1.515,10.602,4.847,4.544,0.909,0.0,0.303,0.909,8,5,2.423,1.515,0.625,1,0,0.303,0.0,0.101,0.899
3631,Nathan Dyer,England,"Leicester City, Swansea City","Center Attacking Midfield, Left Midfield, Right Center Forward, Right Midfield, Right Wing",13,0,296.4,1,0.621,5,2,2,1,0,4,1,0.304,0.189,1.518,0.607,0.607,0.304,0.4,0.2,0.124,0.379,0.0,0.8,0.2,1,5,0.304,1.518,90,67,17,64,2,61,14,15,4,0,0,0,27.328,20.344,1.215,0.0,0.0,0.0,0.744,0.189,0.711,0.022,0.678,0.156,0.167,0.044,0.0,0.0,0.0,109,15,7,11,9,11,0,0,33.097,4.555,2.126,3.34,2.733,3.34,0.0,0.0,0.467,4,0,0,9,53,15,19,3,0,0,10,1.215,0.0,0.0,2.733,16.093,4.555,5.769,0.911,0.0,0.0,3.036,6,2,1.822,0.607,0.333,1,0,0.304,0.0,0.2,0.8
3465,Timothy Evans Fosu-Mensah,Netherlands,Manchester United,"Center Defensive Midfield, Left Back, Left Center Midfield, Right Back, Right Center Back, Right Midfield",8,2,289.3,0,0.051,2,0,1,0,1,1,0,0.0,0.016,0.622,0.0,0.311,0.0,0.0,0.0,0.026,-0.051,0.5,0.5,0.0,1,1,0.311,0.311,144,102,19,93,12,79,17,48,1,0,1,0,44.798,31.732,0.311,0.0,0.311,0.0,0.708,0.132,0.646,0.083,0.549,0.118,0.333,0.007,0.0,0.007,0.0,83,3,2,3,2,1,0,0,25.821,0.933,0.622,0.933,0.622,0.311,0.0,0.0,0.667,16,12,24,4,45,8,25,3,0,0,3,4.978,3.733,7.466,1.244,13.999,2.489,7.777,0.933,0.0,0.0,0.933,14,5,4.355,1.555,0.357,1,0,0.311,0.0,0.175,0.825
50245,Marouane Chamakh,Morocco,Crystal Palace,"Center Forward, Left Center Forward, Left Wing, Right Center Forward, Right Wing",10,1,289.2,0,0.242,2,1,1,0,0,2,0,0.0,0.075,0.622,0.311,0.311,0.0,0.5,0.0,0.121,-0.242,0.0,1.0,0.0,0,4,0.0,1.245,91,72,8,58,10,53,25,13,1,0,1,1,28.32,22.407,0.311,0.0,0.311,0.311,0.791,0.088,0.637,0.11,0.582,0.275,0.143,0.011,0.0,0.011,0.011,63,4,1,5,3,7,0,0,19.606,1.245,0.311,1.556,0.934,2.178,0.0,0.0,0.25,7,1,0,8,63,5,21,4,0,0,7,2.178,0.311,0.0,2.49,19.606,1.556,6.535,1.245,0.0,0.0,2.178,29,13,9.025,4.046,0.448,1,0,0.311,0.0,0.118,0.882
4632,Stephen Ireland,Ireland,Stoke City,"Center Attacking Midfield, Center Forward, Left Center Midfield, Left Defensive Midfield, Left Midfield, Left Wing, Right Center Forward, Right Center Midfield, Right Defensive Midfield, Right Midfield",13,0,288.6,0,0.383,3,0,2,0,0,2,1,0.0,0.119,0.936,0.0,0.624,0.0,0.0,0.0,0.128,-0.383,0.0,0.667,0.333,1,8,0.312,2.495,176,138,49,114,7,110,31,35,2,0,5,1,54.886,43.035,0.624,0.0,1.559,0.312,0.784,0.278,0.648,0.04,0.625,0.176,0.199,0.011,0.0,0.028,0.006,136,4,4,0,4,7,0,0,42.412,1.247,1.247,0.0,1.247,2.183,0.0,0.0,1.0,10,5,1,8,82,11,40,9,2,0,4,3.119,1.559,0.312,2.495,25.572,3.43,12.474,2.807,0.624,0.0,1.247,10,5,3.119,1.559,0.5,2,0,0.624,0.0,0.297,0.703
22702,Jonathan Leko,England,West Bromwich Albion,"Center Forward, Left Center Forward, Left Wing, Right Midfield, Right Wing",5,3,281.2,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.32,0.64,55,40,2,52,0,46,3,6,3,1,1,0,17.603,12.802,0.96,0.32,0.32,0.0,0.727,0.036,0.945,0.0,0.836,0.055,0.109,0.055,0.018,0.018,0.0,102,21,12,4,12,19,0,0,32.646,6.721,3.841,1.28,3.841,6.081,0.0,0.0,0.571,11,4,1,10,69,22,17,4,0,0,7,3.521,1.28,0.32,3.201,22.084,7.041,5.441,1.28,0.0,0.0,2.24,6,1,1.92,0.32,0.167,0,0,0.0,0.0,0.037,0.963
